"ID"	"Text"	"Font"	"Font Style"	"Font Size"	"Spacing"
"Title_PlayButton"	"Play"	"Afton James"	"Normal"	"85 "	"1"
"Title_HowToPlayButton"	"How to Play"	"Afton James"	"Normal"	"70 "	"1"
"Title_OptionsButton"	"Options"	"Afton James"	"Normal"	"80 "	"1"
"Title_CreditsButton"	"Credits"	"Afton James"	"Normal"	"73 "	"1"
"ModeSelect_Title"	"- PLAY -"	"EB Garamond"	"Bold"	"85 "	"1"
"ModeSelect_Description"	"SELECT THE MODE TO PLAY."	"EB Garamond"	"Normal"	"55 "	"1"
"ModeSelect_OfflineButton"	"Offline"	"Afton James"	"Normal"	"80 "	"1"
"ModeSelect_Internet"	"Internet"	"Afton James"	"Normal"	"80 "	"1"
"ModeSelect_LocalNetworkButton"	"Local Network"	"Afton James"	"Normal"	"70 "	"1"
"ModeSelect_BackButton"	"Back"	"Afton James"	"Normal"	"80 "	"1"
"HowToPlay_Title"	"- HOW TO PLAY -"	"EB Garamond"	"Bold"	"85 "	"1"
"HowToPlay_Description"	"LEARN HOW TO PLAY."	"EB Garamond"	"Normal"	"55 "	"1"
"HowToPlay_StoryButton"	"Story"	"Afton James"	"Normal"	"80 "	"1"
"HowToPlay_TutorialButton"	"Tutorial"	"Afton James"	"Normal"	"80 "	"1"
"HowToPlay_RulesButton"	"Rules"	"Afton James"	"Normal"	"80 "	"1"
"HowToPlay_BackButton"	"Back"	"Afton James"	"Normal"	"80 "	"1"
"Story_Title"	"- STORY -"	"EB Garamond"	"Bold"	"85 "	"1"
"Story_Text1"	"A party is held in a mansion."	"EB Garamond"	"Bold"	"75 "	"1"
"Story_Text2"	"During the party,|a dead body which is stabbed|by knife is found."	"EB Garamond"	"Bold"	"75 "	"1"
"Story_Text3"	""There must be|a murderer among us""	"EB Garamond"	"Bold"	"75 "	"1"
"Story_Text4"	"However people try to escape|from the mansion, they noticed|that the exit door is locked."	"EB Garamond"	"Bold"	"75 "	"1"
"Story_Text5"	"While people are confused,|An eerie announcement resounded|through the mansion."	"EB Garamond"	"Bold"	"70 "	"1"
"Story_Text6"	""Let the game begin now.|Murderers are mixed up with you.|Find a hidden key and|escape from this mansion!""	"EB Garamond"	"Bold"	"60 "	"1"
"Story_Text7"	"Whereas the party guests|collect clues and find the key,|the murderers kill them all."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Title"	"- TUTORIAL -"	"EB Garamond"	"Bold"	"85 "	"1"
"Tutorial_Text1"	""The Murderer Among Us" is|a deduction party game."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text2"	"Players join either of two sides|in this game."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text3"	"The one is guest side which aims|to escape from the mansion|by collecting clues to find the key."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text4"	"The other is murderer side which|plans to murder the party guests."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text5"	"There are various roles|that have unique abilities|in each sides."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text6"	"Players aim for their own victory|as a party participant cooperating|with or cheating each other. "	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text7"	"Game progresses by repeating|actions and discussions alternately."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text8"	"The gamemaster|facilitates the game|and guide players by reading display."	"EB Garamond"	"Bold"	"70 "	"1"
"Tutorial_Text9"	"At first, players take thier actions|in order. Only active player can|see the display."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text10"	"After all the players finished|their actions, check dead players|and move on to discussion."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text11"	"All alive players can talk to|each other in the discussion time."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text12"	"Round ends and move on|to the next round when|the discussion time is over."	"EB Garamond"	"Bold"	"75 "	"1"
"Tutorial_Text13"	"Repeat these until|either of the sides|achieves their goal."	"EB Garamond"	"Bold"	"75 "	"1"
"PictureBook_BackButton"	"Back"	"Afton James"	"Normal"	"80 "	"1"
"Rules_Title"	"- RULES -"	"EB Garamond"	"Bold"	"85 "	"1"
"Rules_Description"	"CHECK THE RULES OF THIS GAME."	"EB Garamond"	"Bold"	"55 "	"1"
"Rules_BasicCategoryTitle"	"Basic"	"EB Garamond"	"Bold"	"85 "	"1"
"Rules_ObjectiveButton"	"Objective"	"Afton James"	"Normal"	"85 "	"1"
"Rules_ProfileButton"	"Profile"	"Afton James"	"Normal"	"85 "	"1"
"Rules_MapButton"	"Map"	"Afton James"	"Normal"	"85 "	"1"
"Rules_FindCluesButton"	"Find the Key"	"Afton James"	"Normal"	"70 "	"1"
"Rules_NPCButton"	"NPC"	"Afton James"	"Normal"	"85 "	"1"
"Rules_RolesCategoryTitle"	"Roles"	"EB Garamond"	"Bold"	"85 "	"1"
"Rules_MurdererButton"	"Murderer"	"Afton James"	"Normal"	"85 "	"1"
"Rules_BetrayerButton"	"Betrayer"	"Afton James"	"Normal"	"85 "	"1"
"Rules_PolicemanButton"	"Policeman"	"Afton James"	"Normal"	"85 "	"1"
"Rules_DetectiveButton"	"Detective"	"Afton James"	"Normal"	"85 "	"1"
"Rules_BystanderButton"	"Bystander"	"Afton James"	"Normal"	"85 "	"1"
"Rules_ActionsCategoryTitle"	"Actions"	"EB Garamond"	"Bold"	"85 "	"1"
"Rules_PassButton"	"Pass"	"Afton James"	"Normal"	"85 "	"1"
"Rules_AbilityButton"	"Ability"	"Afton James"	"Normal"	"85 "	"1"
"Rules_MoveButton"	"Move"	"Afton James"	"Normal"	"85 "	"1"
"Rules_BackButton"	"Back"	"Afton James"	"Normal"	"80 "	"1"
"Option_Title"	"- OPTIONS -"	"EB Garamond"	"Bold"	"85 "	"1"
"Option_Description"	"YOU CAN CONFIGURE SETTINGS."	"EB Garamond"	"Normal"	"55 "	"1"
"Option_AudioButton"	"Audio"	"Afton James"	"Normal"	"80 "	"1"
"Option_LanguageButton"	"Language"	"Afton James"	"Normal"	"80 "	"1"
"Option_FeedbackButton"	"Feedback"	"Afton James"	"Normal"	"80 "	"1"
"Option_BackButton"	"Back"	"Afton James"	"Normal"	"80 "	"1"
"RoleIntroduction_Title"	"-"	"EB Garamond"	"Bold"	"85 "	"1"
