"ID"	"Text"	"Font"	"Font Style"	"Font Size"	"Spacing"
"Title_PlayButton"	"プレイ"	"Soukou Mincho"	"Bold"	"80 "	"1"
"Title_HowToPlayButton"	"遊び方"	"Soukou Mincho"	"Bold"	"75 "	"1"
"Title_OptionsButton"	"オプション"	"Soukou Mincho"	"Bold"	"75 "	"1"
"Title_CreditsButton"	"クレジット"	"Soukou Mincho"	"Bold"	"50 "	"1"
"ModeSelect_Title"	"- プレイ -"	"Koku Mincho"	"Bold"	"85 "	"1"
"ModeSelect_Description"	"プレイするモードを選択して下さい"	"Koku Mincho"	"Normal"	"55 "	"1"
"ModeSelect_OfflineButton"	"オフライン"	"Soukou Mincho"	"Bold"	"75 "	"1"
"ModeSelect_Internet"	"インターネット"	"Soukou Mincho"	"Bold"	"70 "	"1"
"ModeSelect_LocalNetworkButton"	"ローカルネットワーク"	"Soukou Mincho"	"Bold"	"55 "	"1"
"ModeSelect_BackButton"	"戻る"	"Soukou Mincho"	"Bold"	"75 "	"1"
"HowToPlay_Title"	"- 遊び方 -"	"Koku Mincho"	"Bold"	"85 "	"1"
"HowToPlay_Description"	"ゲームの遊び方を学びましょう"	"Koku Mincho"	"Normal"	"55 "	"1"
"HowToPlay_StoryButton"	"ストーリー"	"Soukou Mincho"	"Bold"	"75 "	"1"
"HowToPlay_TutorialButton"	"チュートリアル"	"Soukou Mincho"	"Bold"	"65 "	"1"
"HowToPlay_RulesButton"	"ルール"	"Soukou Mincho"	"Bold"	"75 "	"1"
"HowToPlay_BackButton"	"戻る"	"Soukou Mincho"	"Bold"	"75 "	"1"
"Story_Title"	"- ストーリー -"	"Koku Mincho"	"Bold"	"85 "	"1"
"Story_Text1"	"とある屋敷でパーティーが開かれていました。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Story_Text2"	"そんな中、ナイフを刺された|死体が発見されます。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Story_Text3"	"「この中に殺人鬼がいる」"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Story_Text4"	"そう察した人々は|屋敷から逃げようとしますが、|出口の扉に鍵がかかっていることに|気が付きます。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Story_Text5"	"人々が慌てふためく中、|突然不気味なアナウンスが|屋敷中に鳴り響きます。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Story_Text6"	"「これよりゲームを開催致します。|貴方達の中には殺人鬼が紛れ込んでいます。|隠された鍵を探し屋敷から脱出して下さい！」"	"Koku Mincho"	"Bold"	"60 "	"1.2"
"Story_Text7"	"パーティーの来客達は|鍵の在処の手がかりを集めて脱出を、|殺人鬼は来客全員を|殺害することを目指しましょう。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Tutorial_Title"	"- チュートリアル -"	"Koku Mincho"	"Bold"	"85 "	"1"
"Tutorial_Text1"	""The Murderer Among Us"は|正体隠匿系のパーティゲームです。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Tutorial_Text2"	"このゲームでは、二つの陣営に分かれて|プレイすることになります。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Tutorial_Text3"	"鍵の在処の手がかりを集めて|屋敷からの脱出を目指すゲスト陣営と、"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Tutorial_Text4"	"ゲスト達の虐殺を目論む|殺人鬼陣営です。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Tutorial_Text5"	"また、各陣営には|ユニークな能力を持つ|様々な役職が存在します。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Tutorial_Text6"	"プレイヤー達はパーティの参加者となって、|協力や騙し合いをしつつ|それぞれの勝利を目指します。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Tutorial_Text7"	"ゲームは行動と話し合いを|交互に繰り返して進んでいきます。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Tutorial_Text8"	"進行はゲームマスターが行います。|画面の表示に従って|プレイヤー達を案内します。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
"Tutorial_Text9"	"まず、プレイヤー達が順番に|各々の行動を選択していきます。|この時、操作プレイヤー以外は|画面を見てはいけません。"	"Koku Mincho"	"Bold"	"65 "	"1.2"
